question,intent
What is the minimum attendance requirement?,attendance
How much attendance is required?,attendance
What happens if my attendance is low?,attendance
How is attendance calculated?,attendance
Can I appear for exams with low attendance?,attendance
What is the attendance rule for labs?,attendance
How do I check my attendance?,attendance
Is attendance mandatory for all subjects?,attendance
What attendance percentage is needed?,attendance
Do medical leaves affect attendance?,attendance
How can I improve my attendance?,attendance
Is there attendance for practical sessions?,attendance
What is detention due to attendance?,attendance
How often is attendance updated?,attendance
Can attendance be corrected later?,attendance
Who should I contact for attendance issues?,attendance
Are online classes counted in attendance?,attendance
What documents are needed for attendance exemption?,attendance
Is attendance taken every lecture?,attendance
What is the short attendance policy?,attendance
How many classes can I miss?,attendance
Does attendance differ for theory and practical?,attendance
When is attendance finalized each semester?,attendance
Can parents get attendance reports?,attendance
When are semester exams?,examination
Where can I find the exam timetable?,examination
How do I get my hall ticket?,examination
What items are allowed in the exam hall?,examination
When will exam results be published?,examination
How can I apply for revaluation?,examination
What is the exam malpractice policy?,examination
Are makeup exams available?,examination
How are internal marks calculated for exams?,examination
Where is my exam center?,examination
What is the passing mark in exams?,examination
Can I change my exam subject choice?,examination
How do I report an exam schedule conflict?,examination
When does the exam cell release notices?,examination
What should I do if I miss an exam?,examination
How are practical exams conducted?,examination
Is there an exam fee?,examination
How do I download previous question papers?,examination
What is the exam seating arrangement process?,examination
Who do I contact for hall ticket problems?,examination
Are calculators allowed in exams?,examination
What time should I reach the exam hall?,examination
How can I see my exam form status?,examination
When are supplementary exams held?,examination
When does the library open?,library
How many books can I borrow?,library
What are the library timings?,library
How do I get a library membership?,library
What is the book return deadline?,library
Are there fines for late returns?,library
Does the library have digital resources?,library
How can I search for books online?,library
Is there a reading room in the library?,library
Can I renew borrowed books?,library
How do I reserve a book?,library
What is the library holiday schedule?,library
Where is the library help desk?,library
Are reference books available for issue?,library
How do I report a lost library book?,library
Does the library provide previous year papers?,library
Can I access e journals from library?,library
What ID is required in the library?,library
Are group study rooms available?,library
How do I check my borrowed books list?,library
What is the maximum loan period?,library
Is library membership free for students?,library
Can I suggest new books to the library?,library
Where can I find library rules?,library
How do I pay my college fees?,fees
